model_id,experiment,access,utterance,alpha_hat,kl_bets_vs_logprob,mae_bets_vs_logprob,kl_bets_vs_rsa,mae_bets_vs_rsa,kl_rsa_vs_logprob,mae_rsa_vs_logprob
Qwen--Qwen3.5-0.8B,exps_numerical,1,1,0.1,0.6413926991703351,0.26237293032072173,6.0707670621963015,0.125,1.490526005853422,0.38737293032072173
Qwen--Qwen3.5-0.8B,exps_numerical,2,1,0.1,0.4020509724842045,0.20346322145974832,9.288090072064684,0.1875,1.4835514817786613,0.3865846644173705
Qwen--Qwen3.5-0.8B,exps_numerical,2,2,0.1,0.5858689671418581,0.2505987795840666,6.0707670621963015,0.125,1.3910961076694244,0.3755987795840666
Qwen--Qwen3.5-0.8B,exps_numerical,3,1,0.1,0.2629766253038551,0.16508138157528096,9.288090072064684,0.1875,1.2213318143216838,0.35258138157528096
Qwen--Qwen3.5-0.8B,exps_numerical,3,2,0.1,0.7978225183368475,0.29849552507230026,2.939780942151118,0.0625,1.2801019720069589,0.36099552507230026
Qwen--Qwen3.5-0.8B,exps_numerical,3,3,0.1,0.8753794528883383,0.2916480649221612,0.0,0.0,0.8753794528883383,0.2916480649221612
Qwen--Qwen3.5-0.8B,exps_some,1,some,0.1,0.09441236806033182,0.10169469482010088,15.246433629347008,0.30000000000000004,1.3555553804808378,0.3710979623432977
Qwen--Qwen3.5-0.8B,exps_some,2,some,0.1,0.17328158141180672,0.14401048119144239,12.573057233070275,0.25,1.3223361208223081,0.3667440150117258
Qwen--Qwen3.5-0.8B,exps_some,3,some,0.1,0.31980142772947695,0.193521891595973,6.0707670621963015,0.125,1.0134730667675556,0.318521891595973
Qwen--Qwen3.5-2B,exps_numerical,1,1,1.5,0.9178811946523585,0.3003178397479882,0.9363774903660561,0.3039772727272727,0.9121182662091772,0.23288360264228794
Qwen--Qwen3.5-2B,exps_numerical,2,1,0.1,0.8233433455199115,0.25300921922124114,0.3825205570449893,0.15059389608991203,0.4881698750755462,0.229221263467081
Qwen--Qwen3.5-2B,exps_numerical,2,2,0.1,0.5028851552308964,0.14568642693341283,1.4833399686690485,0.31132584499653826,1.897998854181819,0.4045287970388308
Qwen--Qwen3.5-2B,exps_numerical,3,1,1.4,0.6994650476527616,0.2515744878528017,0.028573372419994674,0.014084507042253544,0.60232992097703,0.23748998081054815
Qwen--Qwen3.5-2B,exps_numerical,3,2,0.1,0.6820542300473564,0.17643201832970445,0.3641872018880637,0.15247043330042775,0.26904409135560803,0.13837409856432514
Qwen--Qwen3.5-2B,exps_numerical,3,3,1.4,0.9843438914649809,0.31315783801603514,0.020619287178996408,0.010204081632653041,0.9038821221753716,0.30295375638338207
Qwen--Qwen3.5-2B,exps_some,1,some,2.2,1.2334366033342925,0.32267863712597844,0.0026046262009123133,0.009210679801277558,1.301066049252907,0.33154860055412383
Qwen--Qwen3.5-2B,exps_some,2,some,0.2,1.23307662038162,0.3025829096936656,0.6955821734709468,0.20524653779396024,0.9903666812455605,0.29673354560717463
Qwen--Qwen3.5-2B,exps_some,3,some,0.1,1.2955948060196822,0.36054507697116794,0.553649105187282,0.23965230567908688,0.5444251613936543,0.23745010667641103
Qwen--Qwen3.5-4B,exps_numerical,1,1,1.4,2.181093559738169,0.4019750782537724,0.24979563296094046,0.125,2.898932157502542,0.4400476244338681
Qwen--Qwen3.5-4B,exps_numerical,2,1,0.1,1.9560234676921067,0.3929905496303045,0.03674885559257063,0.06763125041221241,2.274809672742,0.3929905496303045
Qwen--Qwen3.5-4B,exps_numerical,2,2,0.1,0.8167524518435926,0.27906784874070817,3.0875708507485164,0.477193690100595,2.8341078177005725,0.45522019107500616
Qwen--Qwen3.5-4B,exps_numerical,3,1,0.1,0.9487965715260733,0.22838946869212695,13.418769293818764,0.33333333333333337,3.944167049152874,0.47838946869212695
Qwen--Qwen3.5-4B,exps_numerical,3,2,1.5,0.7432373062786325,0.2622140754851962,0.0,2.750000000000004e-18,0.7432373062786325,0.2622140754851962
Qwen--Qwen3.5-4B,exps_numerical,3,3,1.3,0.7850085804875525,0.27194210598038626,0.0,5.708832798885408e-18,0.7850085804875525,0.27194210598038626
Qwen--Qwen3.5-4B,exps_some,1,some,8.0,1.7463853109539076,0.37526462632170443,0.4075916933785682,0.1667411318711075,2.6060449922112934,0.43373728437923986
Qwen--Qwen3.5-4B,exps_some,2,some,8.0,1.440864936079355,0.3317760770491824,0.32633370702595005,0.17308684235205854,2.319802845770812,0.39874496756555233
Qwen--Qwen3.5-4B,exps_some,3,some,1.4,1.3743879116654174,0.36379320942229065,0.1981725237709844,0.1314102564102564,1.738972869232261,0.3696047103330259
Qwen--Qwen3.5-9B,exps_numerical,1,1,1.5,0.5380690990069039,0.23440868648865537,0.4758814620981482,0.11666666666666667,1.144191067436807,0.326075353155322
Qwen--Qwen3.5-9B,exps_numerical,2,1,0.1,0.8485542704484954,0.24071218621283552,0.13532733450814083,0.06550687729131685,0.40806229308915687,0.18364309163811748
Qwen--Qwen3.5-9B,exps_numerical,2,2,0.1,0.49157354892054844,0.19416842270585338,2.5757994594112303,0.46195351738279855,0.834441444730436,0.30485027071077664
Qwen--Qwen3.5-9B,exps_numerical,3,1,0.2,0.18595562426624068,0.0902197020997518,0.10592177734485791,0.08445862790365481,0.06290358302563775,0.03827988844649619
Qwen--Qwen3.5-9B,exps_numerical,3,2,1.4,0.31493134343523876,0.1350805096336671,0.0,2.5754514377493198e-17,0.31493134343523876,0.13508050963366708
Qwen--Qwen3.5-9B,exps_numerical,3,3,1.3,0.244159358970829,0.10831860581491753,0.0,1.1081851903718733e-17,0.244159358970829,0.10831860581491753
Qwen--Qwen3.5-9B,exps_some,1,some,8.0,0.6801946790240999,0.21500291099249635,0.1271764789341599,0.09899321810568035,0.9928413922593137,0.3139304259748577
Qwen--Qwen3.5-9B,exps_some,2,some,7.8,0.27498382195125026,0.1201791453699799,0.43854436363621224,0.21739319845101032,0.5682491962376712,0.24521512497194595
Qwen--Qwen3.5-9B,exps_some,3,some,0.1,0.33629380528397607,0.14678568130021596,0.03738899147545677,0.03881782220550691,0.22354615174200052,0.11936197575280992
google--gemma-3-4b-it,exps_numerical,1,1,0.1,1.298737853610243,0.21565234469929112,0.05388794961911281,0.06520341596013604,1.3151905423760488,0.2509820731899815
google--gemma-3-4b-it,exps_numerical,2,1,0.1,1.4705576342585815,0.25457389723309704,0.2661969593551741,0.10167191273197898,0.589273962913368,0.20104596291012444
google--gemma-3-4b-it,exps_numerical,2,2,0.1,1.5758282822704779,0.1821562285271579,0.4708386299466919,0.13300317016645852,0.4306271889741119,0.11932381532090541
