model_id,experiment,n_cells_with_logprob,mean_kl_bets_vs_logprob,sd_kl_bets_vs_logprob,mean_mae_bets_vs_logprob,sd_mae_bets_vs_logprob,mean_kl_bets_vs_rsa,mean_mae_bets_vs_rsa
Qwen--Qwen3.5-0.8B,exps_numerical,6,0.59424854,0.23214251,0.24527665,0.05192843,5.60958254,0.11458333
Qwen--Qwen3.5-0.8B,exps_some,3,0.19583179,0.11437413,0.14640902,0.04596056,11.29675264,0.225
Qwen--Qwen3.5-2B,exps_numerical,6,0.76832881,0.1758982,0.24002964,0.06667751,0.53593631,0.15710934
Qwen--Qwen3.5-2B,exps_some,3,1.25403601,0.03599142,0.32860221,0.02943161,0.41727863,0.15136984
Qwen--Qwen3.5-4B,exps_numerical,6,1.23848532,0.65054765,0.30609652,0.07294436,2.79881411,0.16719305
Qwen--Qwen3.5-4B,exps_some,3,1.52054605,0.19838681,0.35694464,0.02253865,0.31069931,0.15707941
Qwen--Qwen3.5-9B,exps_numerical,6,0.43720721,0.24400059,0.16715135,0.06491992,0.54882167,0.12143095
Qwen--Qwen3.5-9B,exps_some,3,0.43049077,0.21841191,0.16065591,0.04890986,0.20103661,0.11840141
google--gemma-3-4b-it,exps_numerical,6,1.60462994,0.7162862,0.24205409,0.07404453,0.47553579,0.16841701
google--gemma-3-4b-it,exps_some,3,0.72058405,0.44004873,0.19361081,0.08073379,0.16554516,0.08433965
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,6,1.10746114,0.80541037,0.29221147,0.1513774,2.93535201,0.05694444
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,1.04622408,0.34108516,0.32096182,0.06347138,0.67191637,0.01388889
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,6,0.07079109,0.01145555,0.08441242,0.00639709,0.38031349,0.14437294
meta-llama--Llama-3.2-1B-Instruct,exps_some,3,0.06703007,0.01835409,0.08350054,0.01225359,0.38580587,0.15082706
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,6,1.05759187,0.36450293,0.25833902,0.09472169,10.47719156,0.20277778
meta-llama--Llama-3.2-3B-Instruct,exps_some,3,1.61721768,0.85204869,0.32899994,0.09711135,6.76152038,0.13472222
microsoft--Phi-4-mini-instruct,exps_numerical,6,0.32469091,0.32522901,0.14037738,0.07735326,0.51497044,0.15193071
microsoft--Phi-4-mini-instruct,exps_some,3,0.40518601,0.25609937,0.16891455,0.06071958,0.08292917,0.05964113
