model_id,family,experiment,param_billions,log10_param_billions,n_cells,mean_kl_bets_vs_rsa,mean_mae_bets_vs_rsa,mean_kl_bets_vs_logprob,mean_mae_bets_vs_logprob,mean_kl_rsa_vs_logprob,mean_mae_rsa_vs_logprob,mean_alpha_hat,n_alpha_cells
Qwen--Qwen3.5-0.8B,Qwen,exps_numerical,0.8,-0.0969,6,5.609583,0.114583,0.594249,0.245277,1.290331,0.35913,0.1,6
Qwen--Qwen3.5-0.8B,Qwen,exps_some,0.8,-0.0969,3,11.296753,0.225,0.195832,0.146409,1.230455,0.352121,0.1,3
Qwen--Qwen3.5-2B,Qwen,exps_numerical,2.0,0.301,6,0.535936,0.157109,0.768329,0.24003,0.845591,0.257575,0.7667,6
Qwen--Qwen3.5-2B,Qwen,exps_some,2.0,0.301,3,0.417279,0.15137,1.254036,0.328602,0.945286,0.288577,0.8333,3
Qwen--Qwen3.5-4B,Qwen,exps_numerical,4.0,0.6021,6,2.798814,0.167193,1.238485,0.306097,2.24671,0.383467,0.75,6
Qwen--Qwen3.5-4B,Qwen,exps_some,4.0,0.6021,3,0.310699,0.157079,1.520546,0.356945,2.221607,0.400696,5.8,3
Qwen--Qwen3.5-9B,Qwen,exps_numerical,9.0,0.9542,6,0.548822,0.121431,0.437207,0.167151,0.501448,0.182708,0.7667,6
Qwen--Qwen3.5-9B,Qwen,exps_some,9.0,0.9542,3,0.201037,0.118401,0.430491,0.160656,0.594879,0.226169,5.3,3
google--gemma-3-4b-it,google,exps_numerical,4.0,0.6021,6,0.475536,0.168417,1.60463,0.242054,0.640046,0.141224,0.1,6
google--gemma-3-4b-it,google,exps_some,4.0,0.6021,3,0.165545,0.08434,0.720584,0.193611,0.72104,0.192868,0.1,3
meta-llama--Llama-3.1-8B-Instruct,meta-llama,exps_numerical,8.0,0.9031,6,2.935352,0.056944,1.107461,0.292211,1.401061,0.349156,0.1,6
meta-llama--Llama-3.1-8B-Instruct,meta-llama,exps_some,8.0,0.9031,3,0.671916,0.013889,1.046224,0.320962,1.166966,0.334851,0.1,3
meta-llama--Llama-3.2-1B-Instruct,meta-llama,exps_numerical,1.0,0.0,6,0.380313,0.144373,0.070791,0.084412,0.315049,0.153929,0.1,6
meta-llama--Llama-3.2-1B-Instruct,meta-llama,exps_some,1.0,0.0,3,0.385806,0.150827,0.06703,0.083501,0.45279,0.195332,0.1,3
meta-llama--Llama-3.2-3B-Instruct,meta-llama,exps_numerical,3.0,0.4771,6,10.477192,0.202778,1.057592,0.258339,2.815961,0.458857,0.1,6
meta-llama--Llama-3.2-3B-Instruct,meta-llama,exps_some,3.0,0.4771,3,6.76152,0.134722,1.617218,0.329,2.925378,0.463722,0.1,3
microsoft--Phi-4-mini-instruct,microsoft,exps_numerical,3.8,0.5798,6,0.51497,0.151931,0.324691,0.140377,0.238235,0.111147,0.1,6
microsoft--Phi-4-mini-instruct,microsoft,exps_some,3.8,0.5798,3,0.082929,0.059641,0.405186,0.168915,0.443346,0.178585,0.1,3
